Class,Image Count,Size (MB)
Lubbockia__93061,1,0.0029878616333007812
Monstrilloida__45069,1,0.011627197265625
Nannosquillidae__45061,2,0.031023025512695312
Cephalopoda__12906,3,0.0647125244140625
Cymbulia peroni__92132,3,0.041640281677246094
Insecta__16627,3,0.15076828002929688
larvae_Squillidae__84996,4,0.1564340591430664
Paguridae__83500,4,0.3491649627685547
Haloptilus__80121,5,0.04900932312011719
Penaeoidea__92080,7,0.20598125457763672
Creseidae__26525,7,0.03466320037841797
phyllosoma__84988,8,0.3328971862792969
protozoea_Sergestidae__84994,12,0.40324974060058594
pilidium_Nemertea__92113,12,0.044808387756347656
Actiniaria__25951,13,0.16493701934814453
siphonula__85127,20,0.3703880310058594
Sapphirinidae__78412,21,0.5608701705932617
Cavoliniidae__26480,21,0.5416717529296875
protozoea_Penaeidae__84987,28,0.8379364013671875
Nemertea__11493,31,0.10879802703857422
like_Laomediidae__84992,36,0.9524507522583008
Atlanta__92139,43,0.12303924560546875
part_Thaliacea__92235,44,3.772822380065918
actinula_Hydrozoa__85190,49,0.2312479019165039
scale__85118,53,3.589702606201172
Thecosomata__91704,59,2.896611213684082
ephyra_Scyphozoa__85188,64,0.4753284454345703
eudoxie_Diphyidae__84977,69,0.6808338165283203
larvae_Mysida__92712,73,0.3555889129638672
Aetideidae__61995,75,1.1797285079956055
tornaria larvae__92754,83,0.6565656661987305
larvae_Crustacea__85114,114,1.4346723556518555
part_Annelida__84966,121,0.5308246612548828
Liriope tetraphylla__81862,121,13.237330436706543
Isopoda__45051,123,2.260056495666504
Ctenophora_Metazoa__11511,126,1.5739364624023438
Rhincalanidae__61977,127,4.8950347900390625
Doliolida__25944,128,3.870455741882324
Peltidiidae__93861,133,0.5133342742919922
Phoronida__11491,163,0.9881439208984375
Solmundella bitentaculata__81856,178,3.6751832962036133
Cumacea__45052,180,4.095844268798828
egg unkn temp_Engraulidae temp__85345,192,1.2906951904296875
Heterorhabdidae__61985,205,3.4552078247070312
Branchiostoma__25925,210,3.097750663757324
protozoea_Mysida__84995,229,6.748441696166992
Euchirella__80117,239,6.462841987609863
tail_Chaetognatha__84968,251,4.114141464233398
Echinodermata__11509,253,1.1458768844604492
Pontellidae__61980,299,6.397007942199707
part_Ctenophora__85187,319,6.643007278442383
Ostracoda__30815,341,3.84798526763916
Harosa__5,374,1.133061408996582
Foraminifera__11758,384,1.0463447570800781
bract_Diphyidae__92230,386,2.043600082397461
egg sac_egg__92843,394,2.419924736022949
megalopa__84991,460,13.566658973693848
Salpida__25942,470,89.65563011169434
Decapoda__45043,471,12.848260879516602
Tomopteridae__25631,618,34.0857572555542
pluteus_Ophiuroidea__84999,640,2.1598548889160156
zoea_Galatheidae__84989,660,11.644847869873047
part_Cnidaria__84970,692,17.069294929504395
Pleuromamma__80154,695,16.02328586578369
nectophore_Physonectae__84980,696,28.495691299438477
larvae_Annelida__84965,708,3.194817543029785
Eucalanidae__61987,839,17.984889030456543
Amphipoda__45054,853,21.847655296325684
Mysida__45048,885,40.10981750488281
multiple_Copepoda__85044,961,8.950560569763184
Obelia__72344,1016,11.794878005981445
Diatoma__28189,1084,2.7081499099731445
bubble__85060,1112,3.199522018432617
Aglaura__72431,1113,13.938949584960938
Microsetella__92324,1169,6.4718170166015625
Euphausiacea__45041,1195,32.10419178009033
Calocalanus__80164,1196,4.329187393188477
trunk_Appendicularia__92112,1210,4.312230110168457
zoea_Decapoda__84986,1405,23.118812561035156
pluteus_Echinoidea__85000,1441,4.805417060852051
gonophore_Diphyidae__85185,1462,9.546435356140137
Harpacticoida__45071,1697,5.9618024826049805
Actinopterygii__56693,2113,59.3279447555542
larvae_Echinodermata__92801,2200,14.097040176391602
cyphonaute__84967,2218,6.049319267272949
egg_other__85078,2281,7.068790435791016
cypris__84998,2363,6.98934268951416
Annelida__11518,2434,27.260698318481445
Candaciidae__61991,2773,55.51919078826904
larvae_Porcellanidae__92238,2838,91.27816677093506
Euterpina__62036,2870,9.15678596496582
calyptopsis_Euphausiacea__84993,3246,19.202312469482422
egg_Actinopterygii__85117,3596,30.766072273254395
Fritillariidae__25930,3635,24.447890281677246
Bivalvia_Mollusca__12908,3766,9.566080093383789
Corycaeidae__78426,4720,18.963435173034668
Neoceratium__18758,4830,16.070223808288574
Cnidaria_Metazoa__11512,4974,163.5057020187378
other_living__85011,5861,21.88595676422119
nauplii_Cirripedia__84997,6008,17.409168243408203
Limacinidae__26524,6423,18.927212715148926
Chaetognatha__11514,7329,220.23386096954346
part_Crustacea__85115,7530,48.77907752990723
Eumalacostraca__25824,9815,330.83136081695557
multiple_other__85079,10303,200.7535753250122
nauplii_Crustacea__85116,10747,32.97245788574219
tail_Appendicularia__85004,11349,52.66224193572998
badfocus_Copepoda__92042,11656,42.343411445617676
Euchaetidae__61986,12957,242.81782913208008
part_Siphonophorae__92039,12976,100.61063957214355
nectophore_Diphyidae__84976,14389,295.1705379486084
Centropagidae__61990,14651,139.92700481414795
Metridinidae__61982,15081,217.34112453460693
dead_Copepoda__84964,17151,92.84973812103271
Cladocera__45036,18213,67.11498546600342
Noctiluca_Noctilucaceae__58408,20784,71.75223922729492
fiber_detritus__85076,25124,117.64733219146729
Temoridae__61973,31335,166.91606044769287
Appendicularia__85123,34027,178.98843383789062
badfocus_artefact__85061,34507,141.01811122894287
Oncaeidae__78418,34651,103.4581127166748
artefact__85008,60718,284.29162311553955
Acartiidae__61996,66353,319.5559129714966
Calanidae__61993,91513,1552.0326328277588
Oithonidae__62005,110510,353.0365047454834
Calanoida__45074,149956,671.5098791122437
detritus__84963,219541,1143.0043783187866
